pmid,title,authors,keywords
41012667,Long-Term Nutritional Deficits and Growth Patterns in Children with Congenital Zika Virus Syndrome: Evidence from a Brazilian Cohort.,"Carolina Santos Souza Tavares, Raquel Souza Marques, Janiele de Sá Ferreira, Marcela Barros Barbosa de Oliveira, Monique Carla da Silva Reis, Paulo Ricardo Martins-Filho","Humans, Brazil, Zika Virus Infection, Male, Female, Child, Preschool, Nutritional Status, Child, Zika Virus, Cohort Studies, Body Mass Index, Anthropometry, Diet"
40939268,3D-printed multiplex system for electrochemical determination of yellow fever antigens and antibodies.,"Marcia G P Valenga, Gustavo Martins, Thomas A C Martins, Bruna L A M Lopes, Maria K Ramos, Aldo J G Zarbin, Luiz H Marcolino-Junior, Márcio F Bergamini",
40885911,Zika in Infants and Pregnancy (ZIP) study: results from a prospective international cohort study of prenatal Zika virus infection and adverse fetal and infant outcomes.,"Jill Farnell Lebov, Martha Nason, Kristen B Stolka, Ricardo Ximenes, Marisa M Mussi-Pinhata, Jack Moye, Carmen D Zorrilla, Carmen M Velez Vega, José F Cordero, Deolinda M F Scalabrin, Albert I Ko, Maria Elisabeth Lopes Moreira, Luiz Augusto Galvão, William Britt, Ernesto T A Marques, Angel Balmaseda, Eva Harris, Juan F Arias, Stacey Schultz-Cherry, Ana Lucía Garces, Nancy F Krebs, Theresa J Ochoa, César Augusto Ugarte-Gil, Elizabeth Fogleman, Erin Gabriel, Michael Welton, Carmen M Irizarry, Silvia Biason de Moura Negrini, Conrado Milani Coutinho, Demócrito de Barros Miranda-Filho, Ulisses Ramos Montarroyos, Marli Tenorio Cordeiro, Anna Gajewski, Jorge E Osorio, Lester Figueroa","Adult, Female, Humans, Infant, Infant, Newborn, Male, Pregnancy, Young Adult, Central America, Microcephaly, Pregnancy Complications, Infectious, Pregnancy Outcome, Prospective Studies, Puerto Rico, South America, Zika Virus, Zika Virus Infection"
40872343,"Introduction and Spatial-Temporal Distribution of Oropouche Virus in Rio de Janeiro State, Brazil.","Fábio Burack da Costa, Andrea Cony Cavalcanti, Rafael Santos Erbisti, Vanessa Zaquieu Dias, Cristiane Gomes de Castro Moreira, Mateus Marques Grifo, Maria Carmelita Dos Santos Vaz, Adriana Cardoso Camargo, Leandro Magalhães de Souza, Flávia Barreto Dos Santos, Mário Sérgio Ribeiro, Viviana Malirat, Nildimar Alves Honório, Renata Campos Azevedo","Brazil, Humans, Orthobunyavirus, Bunyaviridae Infections, Retrospective Studies, Spatio-Temporal Analysis, Disease Outbreaks, Male, Female, Adult, Phylogeny, Middle Aged"
40845941,Academic and social-behavioral assessment in a prospective cohort of normocephalic school-aged children with antenatal Zika virus exposure.,"Karen Kikuta, Christopher Justin Hernandez, Andrea Dunshee de Abranches, Luana Damasceno, José Augusto de Britto, Claudia Jardim Duarte, Zilton Vasconcelos, Andrea Zin, Patricia Brasil, Maria Elisabeth Moreira, Karin Nielsen-Saines",
40807939,Direct Detection of ,"Erica Milena de Castro Ribeiro, Bruna de Paula Dias, Cyntia Silva Ferreira, Samara Mayra Soares Alves Dos Santos, Rajiv Gandhi Gopalsamy, Estefânia Mara do Nascimento Martins, Cintia Lopes de Brito Magalhães, Flavio Guimarães da Fonseca, Luiz Felipe Leomil Coelho, Cristiano Fantini, Luiz Orlando Ladeira, Lysandro Pinto Borges, Breno de Mello Silva","Gold, Nanotubes, Surface Plasmon Resonance, Humans, Animals, Biosensing Techniques, Dengue Virus, Antibodies, Viral"
40779554,Relative and attributable risks of neurological and perinatal adverse outcomes among children with and without prenatal Zika virus exposure in Northeast Brazil: A prospective cohort study (2015-2018).,"Juliana Menezes Soares de Souza Azevedo Fontes, Demócrito de Barros Miranda-Filho, Ulisses Ramos Montarroyos, Thalia Velho Barreto de Araújo, Celina Maria Turchi Martelli, Laura Cunha Rodrigues, Elizabeth Brickley, Maria de Fátima Pessoa Militão de Albuquerque, Wayner Vieira Souza, Liana Maria Vieira de Oliveira Ventura, Camila Vieira de Oliveira Ventura, Adriana Lima Gois, Mariana de Carvalho Leal Gouveia, Danielle Maria da Silva Oliveira, Sophie Helena Eickmann, Maria Durce Costa Gomes Carvalho, Paula Fabiana Sobral da Silva, Maria Ângela Wanderley Rocha, Regina Coeli Ferreira Ramos, Sinval Pinto Brandão-Filho, Marli Tenorio Cordeiro, Luciana Caroline Albuquerque Bezerra, George Santiago Dimech, Sandra Valongueiro Alves, Pedro Pires Ferreira Neto, Priscila Mayrelle da Silva Castanha, Rafael Dhalia, Ernesto Torres de Azevedo Marques, Gabriela Renata Neves Fulco, Maria Valquíria de Medeiros Silva, Ricardo Arraes de Alencar Ximenes","Humans, Pregnancy, Female, Zika Virus Infection, Brazil, Prospective Studies, Pregnancy Complications, Infectious, Infant, Newborn, Microcephaly, Zika Virus, Male, Adult, Prenatal Exposure Delayed Effects, Infant, Young Adult, Pregnancy Outcome"
40764313,"Perinatal outcomes of symptomatic chikungunya, dengue and Zika infection during pregnancy in Brazil: a registry-based cohort study.","Thiago Cerqueira-Silva, Laura C Rodrigues, Neil Pearce, Maria Gloria Teixeira, Maria da Conceição Nascimento Costa, Luciana Cardim, Viviane S Boaventura, Deborah A Lawlor, Mauricio L Barreto, Enny S Paixao","Humans, Pregnancy, Female, Brazil, Zika Virus Infection, Dengue, Chikungunya Fever, Adult, Pregnancy Complications, Infectious, Infant, Newborn, Cohort Studies, Pregnancy Outcome, Registries, Premature Birth, Young Adult, Infant, Low Birth Weight, Congenital Abnormalities, Zika Virus, Adolescent"
40638511,Serology survey of chikungunya virus in high-risk pregnant women and placental tissue findings.,"Thamirys Cosmo Grillo Fajardo, Antonio Carlos de Quadros Junior, Clóvis Antonio Lopes Pinto, Geovane Ribeiro Dos Santos, Andrea Cristina Botelho da Silva, Daniel Thome Catalan, Ana Paula Antunes Pascalicchio Bertozzi, Rosa Estela Gazeta, Antonio Fernandes Moron, Saulo Duarte Passos, Alexandra Siqueira Mello, Antoni Soriano-Arandes, Ana Alarcon, Alfredo Garcia-Alix, Alify Bertoldo da Silva, Dora Fix Ventura, Danielle Bruna Leal de Oliveira, Danilla Soares Tambalo, Diego da Silva Lima, Dirce Takako Fujiwara, Edison Luiz Durigon, Eduardo Roberto Bagne, Fernanda Guerra Velasco, Luiz Claudio Portnoi Baran, Fernando Novo Arita, Francisco Del Moral Hernandez, Juliana Paula Gomes de Almeida, Karen Richter Camandulli, Lucas Pires de Castro, Márcia Borges Machado, Mayana Zatz, Maria Manoela Duarte Rodrigues, Maria de Fátima Valente Rizzo, Maria Amélia Farrão, Mirella Nayane Barbosa Leite, Nemésio Florence Filho, Patrícia Carvalho Loiola, Raquel Prestes, Rita de Cássia Aguirre Dezena, Sandra Helena Alves Bonon, Sergio Vranjac, Sérgio Rosemberg, Stephanno Gomes Pereira Sarmento, Steven Sol Witkinchi, Tathiana Ghisi de Souza, Viviane Cristina Martori Pandini, Viviam Paschoarelli Paiva","Humans, Pregnancy, Female, Chikungunya Fever, Placenta, Pregnancy Complications, Infectious, Chikungunya virus, Antibodies, Viral, Adult, Immunoglobulin G, Immunoglobulin M, Pregnancy, High-Risk, Infectious Disease Transmission, Vertical, Infant, Newborn, RNA, Viral, Young Adult"
40638458,Does gastrostomy make a difference in children with congenital Zika syndrome growth?,"Hannah Cavalcante Guedes Pinheiro, Mariana Balbino da Silva, Girlene Souza de Azevedo, Thayla Amorim Santino, Maria Carolina Sarmento Campelo, Jousilene de Sales Tavares, Gabriela Lopes Gama, Adriana Melo","Humans, Zika Virus Infection, Gastrostomy, Female, Male, Prospective Studies, Infant, Child, Preschool, Brazil, Microcephaly, Nutritional Status, Body Mass Index, Anthropometry"
